Target,Doses,Model,Env,Frame,Sample Size,Value
0.25,3,MCA (random delta),0.05,4,15,41.4
0.25,3,MCA (random delta),0.05,5,18,43.7
0.25,3,MCA (random delta),0.05,6,21,43.7
0.25,3,MCA (random delta),0.05,7,24,45.3
0.25,3,MCA (random delta),0.05,8,27,46
0.25,3,MCA (random delta),0.05,9,30,46.6
0.25,3,MCA (random delta),0.05,10,33,47.2
0.25,3,MCA (random delta),0.05,11,36,47.4
0.25,3,MCA (random delta),0.05,12,39,48.4
0.25,3,MCA (random delta),0.05,13,42,49.1
0.25,3,MCA (random delta),0.05,14,45,49.5
0.25,3,MCA (random delta),0.05,15,48,50.2
0.25,3,MCA (random delta),0.05,16,51,50
0.25,3,MCA (random delta),0.05,17,54,50.5
0.25,3,MCA (random delta),0.05,18,57,50.6
0.25,3,MCA (random delta),0.05,19,60,51.1
0.25,3,MCA (random delta),0.07,0,3,41.6
0.25,3,MCA (random delta),0.07,1,6,43.8
0.25,3,MCA (random delta),0.07,2,9,44.9
0.25,3,MCA (random delta),0.07,3,12,47.2
0.25,3,MCA (random delta),0.07,4,15,48.6
0.25,3,MCA (random delta),0.07,5,18,49.3
0.25,3,MCA (random delta),0.07,6,21,49.2
0.25,3,MCA (random delta),0.07,7,24,49.2
0.25,3,MCA (random delta),0.07,8,27,49.6
0.25,3,MCA (random delta),0.07,9,30,51.5
0.25,3,MCA (random delta),0.07,10,33,51.3
0.25,3,MCA (random delta),0.07,11,36,51.9
0.25,3,MCA (random delta),0.07,12,39,52.9
0.25,3,MCA (random delta),0.07,13,42,53.9
0.25,3,MCA (random delta),0.07,14,45,53.9
0.25,3,MCA (random delta),0.07,15,48,55
0.25,3,MCA (random delta),0.07,16,51,54.5
0.25,3,MCA (random delta),0.07,17,54,54.3
0.25,3,MCA (random delta),0.07,18,57,55.1
0.25,3,MCA (random delta),0.07,19,60,55.4
0.25,3,MCA (random delta),0.1,0,3,46.4
0.25,3,MCA (random delta),0.1,1,6,49.3
0.25,3,MCA (random delta),0.1,2,9,51.7
0.25,3,MCA (random delta),0.1,3,12,56.5
0.25,3,MCA (random delta),0.1,4,15,57.3
0.25,3,MCA (random delta),0.1,5,18,58.3
0.25,3,MCA (random delta),0.1,6,21,60.6
0.25,3,MCA (random delta),0.1,7,24,62.1
0.25,3,MCA (random delta),0.1,8,27,61.5
0.25,3,MCA (random delta),0.1,9,30,63
0.25,3,MCA (random delta),0.1,10,33,63.5
0.25,3,MCA (random delta),0.1,11,36,64.3
0.25,3,MCA (random delta),0.1,12,39,64.4
0.25,3,MCA (random delta),0.1,13,42,65
0.25,3,MCA (random delta),0.1,14,45,65.4
0.25,3,MCA (random delta),0.1,15,48,66.3
0.25,3,MCA (random delta),0.1,16,51,66.4
0.25,3,MCA (random delta),0.1,17,54,67.2
0.25,3,MCA (random delta),0.1,18,57,67.8
0.25,3,MCA (random delta),0.1,19,60,68.3
0.25,3,MCA (random delta),0.15,0,3,42.5
0.25,3,MCA (random delta),0.15,1,6,49.7
0.25,3,MCA (random delta),0.15,2,9,53.5
0.25,3,MCA (random delta),0.15,3,12,58.4
0.25,3,MCA (random delta),0.15,4,15,61.2
0.25,3,MCA (random delta),0.15,5,18,62.9
0.25,3,MCA (random delta),0.15,6,21,64.6
0.25,3,MCA (random delta),0.15,7,24,67.1
0.25,3,MCA (random delta),0.15,8,27,67.8
0.25,3,MCA (random delta),0.15,9,30,69.9
0.25,3,MCA (random delta),0.15,10,33,71
0.25,3,MCA (random delta),0.15,11,36,71.9
0.25,3,MCA (random delta),0.15,12,39,72.2
0.25,3,MCA (random delta),0.15,13,42,72.8
0.25,3,MCA (random delta),0.15,14,45,73.7
0.25,3,MCA (random delta),0.15,15,48,74.1
0.25,3,MCA (random delta),0.15,16,51,74.6
0.25,3,MCA (random delta),0.15,17,54,74.9
0.25,3,MCA (random delta),0.15,18,57,75.5
0.25,3,MCA (random delta),0.15,19,60,76
0.25,5,MCA (delta=0.0),0.05,0,3,26.1
0.25,5,MCA (delta=0.0),0.05,1,6,29
0.25,5,MCA (delta=0.0),0.05,2,9,32.2
0.25,5,MCA (delta=0.0),0.05,3,12,32.8
0.25,5,MCA (delta=0.0),0.05,4,15,33.2
0.25,5,MCA (delta=0.0),0.05,5,18,34.2
0.25,5,MCA (delta=0.0),0.05,6,21,35.9
0.25,5,MCA (delta=0.0),0.05,7,24,37.5
0.25,5,MCA (delta=0.0),0.05,8,27,39
0.25,5,MCA (delta=0.0),0.05,9,30,39.6
